audio_id,baseline_segments,embedding_segments,baseline_avg_words,embedding_avg_words,baseline_std_words,embedding_std_words
dHTgffkpeYo,46,202,480.1521739130435,109.34158415841584,637.7449390452917,136.17892697457228
oJNvxYEcVAY,81,281,421.48148148148147,121.49466192170819,478.3511317145805,142.87152033844285
iqBh7G4uDR8,66,287,412.8636363636364,94.94425087108014,366.3634925558031,105.58526300158921
kFQUDCgMjRc,8,235,3576.0,121.73617021276596,3545.3691274675475,138.75460724653882
Z_LhPMhkEdw,22,94,476.5,111.52127659574468,386.9788284084333,111.64025895548119
naed4C4hfAg,12,38,1582.1666666666667,499.63157894736844,4389.252059165536,2361.8429960414683
Whtt2H5_isM,44,199,534.6590909090909,118.21608040201005,477.9421771407945,123.28097801532743
PgtedwKGhXs,27,93,490.25925925925924,142.33333333333334,524.9448360854544,120.17382869802664
4KiO8GRgwDk,82,305,384.1463414634146,103.27868852459017,405.45915321477145,104.26604230816427
gp4U5aH_T6A,94,419,474.6489361702128,106.48448687350836,583.9511912612766,135.59791263912413
YJF01_ztxwY,40,204,521.525,102.25980392156863,534.0194747151081,134.97235066152922
uykM3NhJbso,72,249,417.4861111111111,120.71887550200803,505.9555040014102,143.65171962543974
CwyOUS8TSl0,39,171,381.20512820512823,86.94152046783626,334.5389617021886,124.00210843342056
oCkkjnpS2f8,29,148,445.1034482758621,87.21621621621621,417.4253883219079,103.65656264934495
DKyzcbNr8WE,19,85,493.3157894736842,110.27058823529411,446.7047833132113,127.48816676209546
xewD1apJNhw,1,132,26409.0,200.0681818181818,0.0,195.97066853740446
2a7CDKqWcZ0,32,230,681.625,94.83478260869565,560.5220083770128,120.32426698281914
BIk1zUy8ehU,86,291,407.1162790697674,120.31615120274914,553.2791552990952,128.04781798620655
d2bYwYxqJCM,53,235,481.52830188679246,108.6,570.3647493597502,112.80486635043908
uX5t8EivCaM,31,119,472.0,122.95798319327731,759.9378157921658,187.14122627235938
G433fa01oMU,78,373,437.43589743589746,91.4745308310992,443.9737110992852,104.41565997671219
sY8aFSY2zv4,13,287,2300.769230769231,104.21602787456446,3191.4667752484584,99.76841837015782
nvBEXXnNaNQ,30,172,669.5,116.77325581395348,654.6795526566159,141.81613048642902
WxfA1OSev4c,45,219,542.3777777777777,111.44748858447488,648.1380610432005,138.5310433883946
KZnGSVwIpeU,31,143,469.35483870967744,101.74825174825175,617.2085206479718,111.28433113912972
ZecQ64l-gKM,61,390,680.8524590163935,106.49230769230769,798.7049114715068,124.15950738530552
VHg9sfOzBbY,27,269,1280.6296296296296,128.53903345724908,1640.6244553725664,155.26766480144795
oYQh1ZNkC70,31,152,551.0645161290323,112.38815789473684,665.6430282057789,134.33359150686385
R5rNoV1Qy_Q,48,206,589.4166666666666,137.3398058252427,786.952371317491,135.59695799477961
dSVLjAdo8UA,53,266,563.8679245283018,112.34962406015038,634.38358248451,120.73161194947585
P6prRXkI5HM,49,212,470.44897959183675,108.73584905660377,806.0199283813884,124.69168027554798
bqeuFiAUU4o,117,495,466.65811965811963,110.3010101010101,667.8971741627479,126.14812641081711
LDTe8uFqbws,34,157,535.4411764705883,115.95541401273886,620.1682974225848,168.2120417976083
a3Wpy6gE4So,39,281,818.5897435897435,113.61209964412811,1001.552300769589,119.43584347963194
0ZO28NtkwwQ,55,229,415.07272727272726,99.68995633187772,579.3018636740247,117.21012719296903
SGSOCuByo24,39,111,319.84615384615387,112.37837837837837,389.70084111037045,139.6194992741004
7Grseeycor4,51,201,419.4313725490196,106.42288557213931,498.17495371200584,108.67842597438779
Tj6NOfdfa4o,20,68,339.35,99.80882352941177,306.4774502308449,121.73334616777834
piHkfmeU7Wo,24,105,425.1666666666667,97.18095238095238,535.0234158946275,108.49558085820655
nWTvXbQHwWs,61,246,479.5245901639344,118.90650406504065,575.2067513271842,145.196850533514
hi9Rf0oLdHk,65,345,617.8153846153846,116.4,672.6548295844709,129.91708392529512
KllCrlfLuzs,26,148,598.6923076923077,105.17567567567568,792.159063729325,119.27295043564799
KOwm7GUjcg8,39,198,554.7179487179487,109.26262626262626,539.2609828520523,138.0339649212853
cQ48rP_Rs4g,25,97,475.36,122.51546391752578,536.8070699981512,127.2382385468147
7uHGlfeCBbE,11,56,457.90909090909093,89.94642857142857,430.0309617913267,99.74582333591309
srUlKNLZTas,66,252,436.3030303030303,114.26984126984127,567.7588041481938,132.87217348744014
oIOGUYOPAsA,42,218,533.0238095238095,102.69266055045871,513.4041148524155,118.10631985702196
ZFntEFXKDHM,65,218,444.66153846153844,132.58256880733944,480.7175814717979,149.09819148912516
WgytXF0SPh0,33,218,583.2727272727273,88.29357798165138,454.0821092968441,96.37610792588156
Bo8MY4JpiXE,40,178,436.925,98.18539325842697,414.5743231014193,125.0166029877558
b7bStIQovcY,21,97,503.8095238095238,109.0721649484536,606.2757206363343,103.49194374967645
tApj7Q37P2k,65,232,430.84615384615387,120.71120689655173,539.3480745883221,148.98084305890944
KZkYSSE8HHI,40,169,447.775,105.98224852071006,570.9364451276516,109.37777071372913
pDSEjaDCtOU,39,152,424.3076923076923,108.86842105263158,515.5487568698611,135.82470728123525
hZenJc1fa70,40,262,705.975,107.7824427480916,936.7881160513299,234.58396337974386
4dC_nRYIDZU,35,208,843.4285714285714,141.92307692307693,776.1162021138803,179.40819874004623
OpSmCKe27WE,71,350,547.1267605633802,110.98857142857143,698.8254518123775,126.54537248733824
LW59lMvxmY4,36,167,441.47222222222223,95.16766467065868,445.69100445332896,117.05138094347193
vNhSCF9i8Qs,83,313,462.43373493975906,122.6261980830671,686.2522138620964,166.9474986361907
rfKiTGj-zeQ,26,155,678.1538461538462,113.75483870967741,700.1081066140754,130.0140112516654
dmVqpx4YOY4,43,156,483.16279069767444,133.17948717948718,718.1606651307555,146.29520941292955
HhY95m-WD_E,45,170,428.84444444444443,113.51764705882353,705.8054801448266,150.28064818197012
yImlXr5Tr8g,27,249,1058.037037037037,114.72690763052209,999.5297961757182,146.83443439251224
Iuven0crywo,23,118,598.695652173913,116.69491525423729,490.26952966733194,128.01036163533703
iSMpTmibeDw,58,325,638.8793103448276,114.01538461538462,871.5487815019051,118.88586540915131
azOmzumh0vQ,12,46,493.75,128.80434782608697,542.0240039272553,190.54277387701842
tg_m_LxxRwM,48,157,393.6458333333333,120.35031847133757,477.17670074369613,160.960091831233
vNOTDn3D_RI,29,143,547.0689655172414,110.94405594405595,821.343051980633,108.31150209302436
ziQSpuST6Es,30,148,593.7666666666667,120.35810810810811,644.7896651019015,130.47765730530344
1d9Dj9dT_pw,10,37,490.3,132.51351351351352,470.32139011531257,154.7289909105458
S_AFc_BXht4,34,175,608.7058823529412,118.26285714285714,696.680386227166,158.52253392898217
uTCc2-1tbBQ,23,128,675.2173913043479,121.328125,526.9193450797585,124.85104308328535
M1-v-dXIzho,29,132,522.9310344827586,114.88636363636364,483.87330423789894,128.383165122133
Gfr50f6ZBvo,34,196,678.3529411764706,117.6734693877551,768.157378266633,140.59975582106443
epQxfSp-rdU,11,53,566.9090909090909,117.66037735849056,494.7161637187814,130.8553779539849
cMscNuSUy0I,8,50,615.625,98.5,770.0939776254584,119.46903364470644
Q6tDV3BhrcM,65,264,543.3538461538461,133.78030303030303,607.0860648849673,137.14907363853456
ghwaIiE3Nd8,9,33,1306.3333333333333,356.27272727272725,2891.5951384044834,1382.8301298583558
SK4kMPmgKW0,31,178,618.9032258064516,107.78651685393258,706.523079313406,118.49410661020589
SOr1YYRljV8,50,298,539.84,90.57718120805369,670.2178559244746,128.55535361232523
AzdxbzHtjgs,34,137,506.9117647058824,125.8029197080292,608.9538941132648,167.56590769644114
-EVqrDlAqYo,35,222,697.4571428571429,109.95945945945945,888.8533011810264,144.46668987206255
fIPxfzfOTxk,60,281,435.31666666666666,92.95017793594306,579.4379026742689,120.68215514790376
bQa7hpUpMzM,27,120,451.55555555555554,101.6,505.71228339862074,118.827213493655
Aq9UPIXbtKI,42,244,568.4761904761905,97.85245901639344,673.5426680052146,124.426334262035
arrokG3wCdE,27,169,711.1851851851852,113.62130177514793,539.6675957055373,132.82790759986636
iwcYp-XT7UI,28,171,759.9285714285714,124.4327485380117,824.9765333706438,125.08607508030319
0jspaMLxBig,30,147,520.5333333333333,106.2312925170068,531.6906828431568,125.85355208256455
hppbxV9C63g,37,210,587.9459459459459,103.5904761904762,688.9131646510398,111.79902846822915
85F0FDsPHf8,54,200,338.74074074074076,91.46,366.4386253084816,114.24757502896944
q7Qk4vYleXw,70,250,397.22857142857146,111.224,404.63843371683856,120.49550126042051
eF-E40pxxbI,79,312,476.9113924050633,120.75641025641026,553.5899682149125,141.32247955700245
Iau6W5pjy9Y,25,133,529.64,99.55639097744361,682.4677504468618,112.96745246440793
q6zEzZCtkXw,48,200,510.9583333333333,122.63,714.5190678098722,152.64142000125653
RvhpncC5jZ8,55,219,550.5636363636364,138.26940639269407,625.3511526592331,156.66989851455472
kq0VO1FqE6I,23,86,420.4782608695652,112.45348837209302,438.4729300617946,128.99681418246968
Hc4XvHTlW3s,45,210,575.4444444444445,123.30952380952381,491.9852100557295,151.55327337672983
tueAcSiiqYA,56,245,530.1071428571429,121.16734693877551,686.580987798324,148.69753080825342
lVHRs3uTHNI,15,90,584.4,97.4,863.4802294590576,104.16405863401786
7KTbEn7PiaY,19,94,604.9473684210526,122.27659574468085,680.9496058086602,142.241060314787
lEZPfmGCEk0,17,60,391.3529411764706,110.88333333333334,421.00746691386814,105.76279933049344
5zOHSysMmH0,37,168,566.3783783783783,124.73809523809524,782.1784323752772,143.86792215411785
ykY69lSpDdo,20,147,642.15,87.36734693877551,524.6544839225144,98.53305544542016
A22Ej6kb2wo,48,238,543.2083333333334,109.5546218487395,707.984579585287,112.6710984601568
v-9Mpe7NhkM,37,167,500.43243243243245,110.87425149700599,503.06076901952486,122.4515145225688
5Gk9gIpGvSE,53,328,790.0566037735849,127.66158536585365,918.6656939133906,130.24834903658055
sndW9hzX-wA,46,284,648.2391304347826,104.99647887323944,927.7016289636731,121.53624910600375
yTWa-Z1UQwU,24,123,622.4583333333334,121.45528455284553,662.9548739775246,153.545324577845
mC43pZkpTec,40,326,873.625,107.19325153374233,819.0552694263068,128.4718443904499
iOCfIFBBpVY,32,139,507.71875,116.88489208633094,588.0808423579513,130.4230570126614
98HZanvAJ8Y,36,138,465.8611111111111,121.52898550724638,551.3335929452119,137.7206367888325
nkWmiNRPU-c,24,107,598.625,134.2710280373832,619.0689119220358,131.56779781659196
OYsYgzzsdT0,49,214,460.6734693877551,105.48130841121495,448.0467991115278,130.40880053930846
BCdV6BMMpOo,43,229,565.953488372093,106.2707423580786,1107.5818611877035,129.57493850989056
G4hL5Om4IJ4,72,256,375.2083333333333,105.52734375,424.39142498078616,121.34956943606902
SGzMElJ11Cc,57,229,465.0701754385965,115.75982532751091,656.442187822051,119.80752012893628
urdNsyZBqhQ,23,218,896.7826086956521,94.61467889908256,895.3983304274835,103.22749511555861
QSPtSNqUCUw,22,106,594.7727272727273,123.44339622641509,669.3625143521518,152.10076601525685
I51DuprOb0o,45,170,384.9111111111111,101.88823529411765,454.87267191415333,127.0580894586638
J21-7AsUcgM,31,134,508.16129032258067,117.55970149253731,594.3124027394582,139.14989830009154
ktuw6Ow4sd0,58,264,559.8965517241379,123.00757575757575,588.0315406053744,136.34248299734247
L-RuvUkcyJI,37,200,599.5945945945946,110.925,706.4098978316806,168.1901881056086
XW0QZmtbjvs,54,233,567.6666666666666,131.56223175965664,638.8003513531352,181.29608897679245
SFxIazwNP_0,78,415,559.1666666666666,105.09638554216868,870.3761994864512,143.97245506783926
mDyBbGCiBUU,44,213,518.25,107.05633802816901,481.97298703067656,129.44165622369286
gFEE3w7F0ww,75,301,484.44,120.70764119601328,531.1697591793669,124.90299588140522
smK9dgdTl40,12,58,459.75,95.12068965517241,697.2032373466626,121.46122945859447
PbN3HzKkW4M,24,472,1859.0833333333333,94.52966101694915,2385.6262615343217,104.50465873105973
ImKkaeUx1MU,25,119,627.32,131.78991596638656,533.60717536405,151.98589463242905
pEBI0vF45ic,29,125,362.7586206896552,84.16,356.91751729191105,97.41789568657289
t06rkOOUa7g,24,210,880.0833333333334,100.58095238095238,1416.686242511807,132.56766688697087
3qMemn__kK8,20,85,468.5,110.23529411764706,440.9109320486395,145.73139248056768
3x1b_S6Qp2Q,22,128,673.3636363636364,115.734375,702.3016410640959,141.7485937085775
tOtdJcco3YM,40,349,903.25,103.5243553008596,920.2211894430599,115.20343340678018
FKCJWkPehdY,17,138,772.5882352941177,95.17391304347827,1139.2777928465716,130.08508436613002
_TTNGq9djU4,17,55,377.7647058823529,116.76363636363637,359.89059275608366,147.90893557571326
j4PEu4sVD40,43,174,464.0,114.66666666666667,469.27118157890874,124.05696380372699
Fx0G6DHMfXM,18,163,1007.0,111.20245398773007,953.4141574130077,139.2652568773671
5f-JlzBuUUU,16,78,636.125,130.48717948717947,631.3205282382318,129.57096299333068
E1AxVXt2Gv4,44,145,361.09090909090907,109.57241379310345,409.77198860418474,121.1645074256106
3FIo6evmweo,17,84,626.5294117647059,126.79761904761905,574.8490459290476,145.26681361270442
YbJZnShMQAo,14,119,2174.5714285714284,255.83193277310923,4692.4082564178025,1505.8491689583543
uiNpESmPioQ,52,285,720.9807692307693,131.54736842105262,975.0094179108182,154.8401168667875
8wYZjOzfTUk,47,215,568.2340425531914,124.21860465116279,617.3070966764128,146.47801209041575
O9upVbGSBFo,28,162,624.5,107.93827160493827,1092.6651068439432,134.19792326768075
Ad89JYS-uZM,47,146,377.8085106382979,121.62328767123287,573.319881685678,133.91057844445376
TRdL6ZzWBS0,36,139,422.3888888888889,109.39568345323741,460.7749075547613,132.396918974836
J6XcP4JOHmk,31,149,530.0645161290323,110.28187919463087,747.4569330773587,133.34524401405028
cC1HszE5Hcw,61,249,427.0,104.60642570281125,570.7712067823703,120.7283357089283
1C2tPFCGL1U,70,363,480.5857142857143,92.67493112947659,503.9734543138767,96.63226767842974
EYIKy_FM9x0,43,185,486.1162790697674,112.98918918918919,771.2546169415109,137.16669634364266
q0mokx-iiws,27,96,441.0740740740741,124.05208333333333,475.20949968104134,142.08568202787495
KW8Vjs84Fxg,35,163,543.8571428571429,116.77914110429448,560.8486499611686,146.1528750240306
llh-2pqSGrs,21,84,507.3333333333333,126.83333333333333,578.2543791309556,136.7998044879323
-k-ztNsBM54,71,243,476.2535211267606,139.15226337448559,532.2959496187807,149.54145778932943
iZjby1LkTWQ,77,339,525.961038961039,119.46607669616519,610.4194521580604,144.80961318382282
KBZP4rLk6bk,92,390,468.0217391304348,110.40512820512821,595.0018446858666,126.10022458492362
ZPPAOakITeQ,22,145,624.2272727272727,94.71034482758621,663.3558575920264,101.07019870069682
yzMVEbs8Zz0,21,178,1100.6190476190477,129.84831460674158,1047.58504490273,148.8864453896155
U_AREIyd0Fc,65,251,522.5076923076923,135.31075697211156,655.1421248759557,152.9183017684988
xlMTWfkQqbY,22,85,489.3636363636364,126.65882352941176,686.0539036239688,161.68411853627188
zNdhgOk4-fE,41,140,405.5853658536585,118.77857142857142,492.7718007259748,129.18597158787034
LAyZ8IYfGxQ,56,225,492.26785714285717,122.52,650.5819782282692,132.56210552877553
Vrz8YDl9CeA,41,181,513.219512195122,116.25414364640883,507.40028515499654,154.01008629867468
o2nG7-eXxko,14,189,1946.2142857142858,144.16402116402116,2250.2445955486523,151.77412755628166
uTxRF5ag27A,25,129,570.8,110.62015503875969,523.107331242834,127.33409597148435
hy2G3PhGm-g,34,179,537.6470588235294,102.12290502793296,570.0238324405157,114.97187647589139
6ePR2TWYVkI,25,101,430.08,106.45544554455445,583.4493239348213,146.60295437924256
x0-zGdlpTeg,19,92,641.0526315789474,132.3913043478261,602.9324369659558,142.3252518553541
H_szemxPcTI,1,67,14776.0,220.53731343283582,0.0,234.08732446114925
LRYkH-fAVGE,29,136,486.7241379310345,103.78676470588235,639.179964758279,120.43972180942993
QDN6xvhAw94,12,72,747.8333333333334,124.63888888888889,1039.7897089743142,193.34219128813754
